code,start_time,home_team,visiting_team
199005080POR,San Antonio Spurs,122,112
199611010MIA,Atlanta Hawks,94,81
199611010MIN,San Antonio Spurs,82,78
199611010NJN,Cleveland Cavaliers,77,90
199611010ORL,Washington Bullets,92,96
199611010PHI,Milwaukee Bucks,103,111
199004030SAS,Minnesota Timberwolves,90,92
199004030SEA,Portland Trail Blazers,136,134
199004030UTA,Charlotte Hornets,127,104
199004040BOS,New Jersey Nets,125,106
199004040CLE,Atlanta Hawks,101,95
199003020LAL,Cleveland Cavaliers,124,93
199003020MIA,Boston Celtics,110,122
199003020SAS,Golden State Warriors,131,115
199003020SEA,Minnesota Timberwolves,99,83
199003030CHH,Sacramento Kings,103,104
199002020PHI,Milwaukee Bucks,119,109
199002020UTA,Dallas Mavericks,105,92
199002020WSB,Sacramento Kings,108,99
199002030CLE,Detroit Pistons,100,105
199002030NYK,Indiana Pacers,112,98
199001030HOU,Indiana Pacers,117,103
199001030LAL,Denver Nuggets,114,98
199001030NJN,Milwaukee Bucks,96,110
199001030SAS,Philadelphia 76ers,103,94
199001030SEA,Utah Jazz,108,119
199111010MIN,Utah Jazz,97,112
199111010ORL,New York Knicks,106,96
199111010POR,Cleveland Cavaliers,117,106
199111010SAC,Los Angeles Clippers,94,90
199111010SAS,Dallas Mavericks,140,99
199311050LAC,Portland Trail Blazers,97,95
199311050LAL,Phoenix Suns,116,108
199311050MIA,Orlando Magic,96,116
199311050PHI,Washington Bullets,94,82
199311050SAC,Denver Nuggets,109,100
198911040SAC,Seattle SuperSonics,107,100
198911040SAS,Los Angeles Lakers,106,98
198911040WSB,Detroit Pistons,93,95
198911050POR,Minnesota Timberwolves,93,83
198911060ORL,New York Knicks,118,110
199211070CHI,Atlanta Hawks,99,100
199211070DAL,Utah Jazz,106,122
199211070DEN,San Antonio Spurs,125,121
199211070IND,Detroit Pistons,87,89
199211070MIA,New Jersey Nets,106,94
199011030SAS,Los Angeles Lakers,110,99
199011030SEA,Houston Rockets,118,106
199011030WSB,Chicago Bulls,103,102
199011040LAC,Golden State Warriors,109,107
199011060CHH,New Jersey Nets,113,105
199411040WSB,Orlando Magic,110,108
199411050ATL,Detroit Pistons,109,114
199411050CHH,Cleveland Cavaliers,107,115
199411050CHI,Washington Bullets,99,100
199411050DAL,New Jersey Nets,112,103
199005090CHI,Philadelphia 76ers,101,96
199005100DET,New York Knicks,104,97
199005100LAL,Phoenix Suns,124,100
199005100SAS,Portland Trail Blazers,121,98
199005110PHI,Chicago Bulls,118,112
199611010TOR,New York Knicks,99,107
199611010UTA,Seattle SuperSonics,99,91
199611010VAN,Portland Trail Blazers,85,114
199611020ATL,Detroit Pistons,78,90
199611020CHH,Toronto Raptors,109,98
199004040DAL,San Antonio Spurs,104,98
199004040DEN,Charlotte Hornets,112,116
199004040MIA,Golden State Warriors,114,128
199004040MIL,Indiana Pacers,121,116
199004040WSB,New York Knicks,107,118
199003030DEN,Dallas Mavericks,106,89
199003030HOU,Golden State Warriors,129,109
199003030IND,Los Angeles Clippers,105,107
199003030MIL,New York Knicks,105,106
199003030NJN,Atlanta Hawks,114,109
199002030ORL,Los Angeles Clippers,110,113
199002030PHO,Houston Rockets,130,105
199002030POR,Dallas Mavericks,131,100
199002030SAS,Chicago Bulls,112,111
199002030WSB,Seattle SuperSonics,92,94
199001040GSW,Miami Heat,119,117
199001040MIN,Charlotte Hornets,100,98
199001040NYK,Atlanta Hawks,100,95
199001040PHO,Dallas Mavericks,119,102
199001040SAC,Denver Nuggets,98,112
199111010SEA,Phoenix Suns,95,99
199111020ATL,Detroit Pistons,87,89
199111020CHH,New Jersey Nets,108,116
199111020DAL,Los Angeles Lakers,113,114
199111020DEN,Houston Rockets,109,101
199311050SAS,Golden State Warriors,91,85
199311050UTA,Dallas Mavericks,102,86
199311060CHI,Miami Heat,71,95
199311060DAL,Golden State Warriors,89,93
199311060IND,Detroit Pistons,107,113
198911070ATL,Washington Bullets,114,118
198911070CHI,Detroit Pistons,117,114
198911070GSW,Los Angeles Clippers,118,94
198911070HOU,Portland Trail Blazers,109,86
198911070LAL,Phoenix Suns,111,107
199211070MIL,Boston Celtics,124,88
199211070MIN,Golden State Warriors,119,121
199211070NYK,Philadelphia 76ers,89,85
199211070PHO,Los Angeles Clippers,111,105
199211070SEA,Houston Rockets,89,85
199011060CHI,Boston Celtics,108,110
199011060GSW,Los Angeles Clippers,130,109
199011060HOU,Denver Nuggets,145,135
199011060IND,Minnesota Timberwolves,98,96
199011060LAL,Portland Trail Blazers,123,125
199411050DEN,Golden State Warriors,104,108
199411050IND,Boston Celtics,112,103
199411050MIL,Los Angeles Lakers,97,96
199411050MIN,Houston Rockets,85,115
199411050ORL,Philadelphia 76ers,122,107
199005120NYK,Detroit Pistons,111,103
199005120PHO,Los Angeles Lakers,117,103
199005120SAS,Portland Trail Blazers,115,105
199005130NYK,Detroit Pistons,90,102
199005130PHI,Chicago Bulls,101,111
199611020CHI,Philadelphia 76ers,115,86
199611020DAL,Sacramento Kings,94,107
199611020IND,Miami Heat,95,97
199611020LAC,Utah Jazz,90,95
199611020MIL,Boston Celtics,124,102
199004050ATL,Detroit Pistons,99,104
199004050CHI,Orlando Magic,111,104
199004050LAL,Sacramento Kings,110,103
199004050SEA,Utah Jazz,101,91
199004060CHH,Minnesota Timberwolves,108,93
199003030ORL,Washington Bullets,128,132
199003030POR,Seattle SuperSonics,110,98
199003030UTA,San Antonio Spurs,112,98
199003040BOS,Chicago Bulls,114,118
199003040DET,Indiana Pacers,111,105
199002040BOS,Sacramento Kings,121,89
199002040DEN,Atlanta Hawks,125,113
199002040DET,Utah Jazz,115,83
199002040LAL,New Jersey Nets,121,105
199002040MIL,Philadelphia 76ers,102,105
199001050BOS,Los Angeles Clippers,105,114
199001050CHI,Orlando Magic,127,116
199001050CLE,Washington Bullets,119,107
199001050DAL,Philadelphia 76ers,79,104
199001050DET,Indiana Pacers,122,99
199111020GSW,Sacramento Kings,153,91
199111020IND,Utah Jazz,127,112
199111020LAC,Cleveland Cavaliers,106,105
199111020MIA,New York Knicks,107,93
199111020MIL,Chicago Bulls,109,107
199311060MIL,Charlotte Hornets,103,120
199311060MIN,Utah Jazz,95,105
199311060ORL,Philadelphia 76ers,114,89
199311060SEA,Los Angeles Lakers,129,101
199311060WSB,Boston Celtics,88,100
198911070MIL,Boston Celtics,106,100
198911070NJN,Miami Heat,77,83
198911070SAC,Dallas Mavericks,96,94
198911070SEA,Charlotte Hornets,128,88
198911080CLE,Orlando Magic,110,117
199211070WSB,Orlando Magic,98,103
199211080CLE,Charlotte Hornets,127,107
199211080LAL,Sacramento Kings,114,124
199211080POR,Denver Nuggets,123,104
199211090CHI,Indiana Pacers,102,97
199011060MIA,Milwaukee Bucks,94,106
199011060NYK,Dallas Mavericks,91,96
199011060ORL,Cleveland Cavaliers,95,102
199011060SAC,Atlanta Hawks,85,102
199011060SEA,Detroit Pistons,100,92
199411050POR,Los Angeles Clippers,112,95
199411050SEA,Utah Jazz,110,103
199411060PHO,Miami Heat,119,107
199411070CHI,Philadelphia 76ers,98,83
199411070SAS,New Jersey Nets,105,96
199005130PHO,Los Angeles Lakers,114,101
199005150DET,New York Knicks,95,84
199005150LAL,Phoenix Suns,103,106
199005150POR,San Antonio Spurs,138,132
199005160CHI,Philadelphia 76ers,117,99
199611020PHO,Houston Rockets,95,110
199611020SEA,Portland Trail Blazers,104,93
199611020WSB,Cleveland Cavaliers,96,98
199611030LAL,Minnesota Timberwolves,91,85
199611030NYK,Charlotte Hornets,113,86
199004060CLE,Boston Celtics,104,109
199004060DEN,Seattle SuperSonics,119,103
199004060DET,Milwaukee Bucks,84,92
199004060NJN,Golden State Warriors,117,123
199004060NYK,Philadelphia 76ers,114,104
199003040LAL,Minnesota Timberwolves,115,96
199003040PHO,Cleveland Cavaliers,108,96
199003050GSW,Charlotte Hornets,138,117
199003050MIA,Utah Jazz,105,104
199003050NJN,Sacramento Kings,128,111
199002040MIN,Golden State Warriors,95,105
199002040POR,Phoenix Suns,123,121
199002050CHH,Seattle SuperSonics,100,101
199002050CLE,Los Angeles Clippers,100,84
199002050NYK,Miami Heat,116,107
199001050POR,Utah Jazz,118,89
199001050SEA,Miami Heat,140,110
199001060ATL,New Jersey Nets,105,96
199001060CHH,Indiana Pacers,117,111
199001060DEN,Utah Jazz,120,123
199111020PHI,Orlando Magic,115,122
199111020POR,Phoenix Suns,76,100
199111020WSB,Boston Celtics,126,118
199111030SEA,San Antonio Spurs,98,106
199111050ATL,Utah Jazz,98,94
199311070CLE,New York Knicks,107,115
199311070DEN,Los Angeles Clippers,99,97
199311070PHO,Sacramento Kings,132,110
199311070POR,Houston Rockets,92,106
199311070SAS,New Jersey Nets,73,99
198911080DEN,Sacramento Kings,102,84
198911080IND,Detroit Pistons,95,74
198911080LAC,Dallas Mavericks,99,123
198911080MIN,Chicago Bulls,84,96
199211100CLE,Washington Bullets,131,92
199211100DEN,Utah Jazz,109,118
199211100GSW,Los Angeles Lakers,106,107
199211100MIA,Boston Celtics,110,106
199211100MIN,Dallas Mavericks,118,104
199011070CLE,Charlotte Hornets,100,89
199011070LAC,Detroit Pistons,83,110
199011070MIN,Chicago Bulls,91,96
199011070PHI,Dallas Mavericks,101,104
199011070PHO,Golden State Warriors,126,119
199411070UTA,Atlanta Hawks,104,86
199411080CLE,Houston Rockets,98,100
199411080DAL,Denver Nuggets,107,115
199411080DET,Minnesota Timberwolves,126,112
199411080GSW,Miami Heat,121,114
199005170SAS,Portland Trail Blazers,112,97
199005190POR,San Antonio Spurs,108,105
199005200DET,Chicago Bulls,86,77
199005210POR,Phoenix Suns,100,98
199005220DET,Chicago Bulls,102,93
199611030SAS,Denver Nuggets,79,88
199611030VAN,Golden State Warriors,95,105
199611040POR,Atlanta Hawks,76,94
199611040UTA,Houston Rockets,72,75
199004060ORL,Indiana Pacers,115,123
199004060PHO,Los Angeles Lakers,99,103
199004060POR,Los Angeles Clippers,106,99
199004060WSB,Houston Rockets,121,110
199004070ATL,Philadelphia 76ers,108,112
199003050PHI,Los Angeles Clippers,128,105
199003050SAS,Houston Rockets,105,109
199003060ATL,Phoenix Suns,111,113
199003060DEN,Charlotte Hornets,122,96
199003060DET,Sacramento Kings,101,91
199002050PHI,Utah Jazz,114,89
199002050WSB,Golden State Warriors,135,129
199002060BOS,Milwaukee Bucks,106,119
199002060DEN,Indiana Pacers,130,138
199002060DET,Cleveland Cavaliers,105,96
199001060DET,New York Knicks,117,106
199111050CHI,Golden State Warriors,110,118
199111050DAL,Cleveland Cavaliers,101,112
199111050DEN,San Antonio Spurs,97,96
199111050DET,Charlotte Hornets,117,93
199111050HOU,Portland Trail Blazers,106,99
199311080BOS,Milwaukee Bucks,108,100
199311080CHI,Atlanta Hawks,106,80
199311080UTA,Seattle SuperSonics,100,101
199311090CLE,Charlotte Hornets,113,108
198911080PHI,Miami Heat,115,91
198911080SAS,Portland Trail Blazers,104,108
198911080UTA,Charlotte Hornets,102,86
198911080WSB,Boston Celtics,112,103
198911090GSW,Los Angeles Lakers,95,106
199211100NYK,New Jersey Nets,99,96
199211100ORL,Charlotte Hornets,108,112
199211100POR,Phoenix Suns,100,89
199211100SAC,Los Angeles Clippers,99,97
199211100SAS,Milwaukee Bucks,104,98
199011070SAS,Denver Nuggets,161,153
199011080HOU,Orlando Magic,103,99
199011080MIL,Philadelphia 76ers,141,111
199011080NJN,Miami Heat,114,103
199011080NYK,Washington Bullets,114,103
199411080NYK,Los Angeles Lakers,117,113
199411090CHH,Orlando Magic,128,130
199411090IND,Houston Rockets,104,109
199411090MIN,Los Angeles Lakers,99,122
199411090NJN,Chicago Bulls,110,109
199005230POR,Phoenix Suns,108,107
199005250PHO,Portland Trail Blazers,123,89
199005260CHI,Detroit Pistons,107,102
199005270PHO,Portland Trail Blazers,119,107
199005280CHI,Detroit Pistons,108,101
199611050CHI,Vancouver Grizzlies,96,73
199611050CLE,San Antonio Spurs,68,74
199611050DEN,Los Angeles Clippers,78,82
199611050GSW,Portland Trail Blazers,93,111
199611050NYK,Los Angeles Lakers,92,98
199004070DAL,Chicago Bulls,108,109
199004070LAC,Phoenix Suns,108,115
199004070MIA,Boston Celtics,105,115
199004070MIL,Washington Bullets,110,100
199004070SAC,San Antonio Spurs,93,111
199003060HOU,Los Angeles Lakers,112,95
199003060IND,Washington Bullets,113,98
199003060MIL,Chicago Bulls,105,114
199003060NYK,Portland Trail Blazers,100,112
199002060HOU,Minnesota Timberwolves,108,101
199002060MIA,Washington Bullets,100,118
199002060ORL,New York Knicks,110,117
199002060POR,Los Angeles Lakers,119,121
199002060SAC,Dallas Mavericks,90,100
199001060GSW,Los Angeles Lakers,133,131
199001060HOU,Philadelphia 76ers,124,119
199001060MIL,Chicago Bulls,118,111
199001060ORL,Cleveland Cavaliers,112,123
199001060SAC,Portland Trail Blazers,121,124
199111050LAL,Los Angeles Clippers,109,114
199111050MIA,Boston Celtics,89,93
199111050NYK,Milwaukee Bucks,113,85
199111050PHO,Indiana Pacers,105,111
199311090DAL,New Jersey Nets,80,86
199311090DET,Washington Bullets,112,118
199311090GSW,Houston Rockets,93,102
199311090LAC,Phoenix Suns,99,114
199311090LAL,Portland Trail Blazers,102,109
198911090HOU,Denver Nuggets,127,128
198911090MIL,Seattle SuperSonics,155,154
198911090NYK,New Jersey Nets,107,105
198911100BOS,Atlanta Hawks,117,106
198911100DAL,Portland Trail Blazers,91,99
199211110CHH,Boston Celtics,99,109
199211110CHI,Detroit Pistons,98,96
199211110DAL,Milwaukee Bucks,116,124
199211110HOU,Atlanta Hawks,101,82
199011080UTA,San Antonio Spurs,103,94
199011090BOS,Chicago Bulls,100,120
199011090DAL,Orlando Magic,111,99
199011090DEN,Seattle SuperSonics,129,135
199011090GSW,Atlanta Hawks,143,128
199411090PHI,Washington Bullets,98,97
199411090PHO,Atlanta Hawks,106,102
199411090SAS,Utah Jazz,109,101
199411090SEA,Sacramento Kings,100,108
199411100CLE,Milwaukee Bucks,108,88
199005290POR,Phoenix Suns,120,114
199005300DET,Chicago Bulls,97,83
199005310PHO,Portland Trail Blazers,109,112
199611050PHI,Detroit Pistons,81,83
199611050PHO,Minnesota Timberwolves,95,98
199611050SAC,Houston Rockets,80,102
199611050SEA,Atlanta Hawks,95,117
199611050TOR,Dallas Mavericks,100,96
199004080CHH,Golden State Warriors,110,109
199004080CLE,Detroit Pistons,100,97
199004080DEN,Los Angeles Lakers,109,116
199004080IND,New York Knicks,99,97
199004080NJN,Miami Heat,102,101
199003060ORL,Utah Jazz,101,111
199003060SEA,Cleveland Cavaliers,95,90
199003070BOS,Portland Trail Blazers,117,130
199003070DAL,Los Angeles Lakers,91,103
199003070MIA,Orlando Magic,122,105
199002060SAS,Atlanta Hawks,105,94
199002070BOS,Charlotte Hornets,146,125
199002070LAL,Chicago Bulls,121,103
199002070NJN,Utah Jazz,101,108
199002070PHI,Golden State Warriors,112,113
199511030ATL,Indiana Pacers,106,111
199001060SAS,Minnesota Timberwolves,109,96
199001060SEA,Phoenix Suns,120,110
199001060WSB,Boston Celtics,88,102
199001070LAL,Miami Heat,132,93
199001070NJN,Atlanta Hawks,98,93
199111050SEA,Sacramento Kings,98,87
199111050WSB,Philadelphia 76ers,106,107
199111060BOS,Chicago Bulls,113,132
199111060CHH,Atlanta Hawks,114,104
199111060LAC,Phoenix Suns,111,87
199311090NYK,Philadelphia 76ers,95,86
199311090ORL,Indiana Pacers,104,98
199311090SAS,Minnesota Timberwolves,110,95
199311090SEA,Denver Nuggets,118,86
198911100IND,Miami Heat,102,98
198911100LAL,Charlotte Hornets,106,100
198911100MIN,Philadelphia 76ers,125,118
198911100NJN,Chicago Bulls,117,107
198911100ORL,Detroit Pistons,121,125
199211110IND,Philadelphia 76ers,120,114
199211110LAC,Sacramento Kings,109,101
199211120DET,Miami Heat,95,88
